SEGMENT_ID,L_F_ADD,L_T_ADD,R_F_ADD,R_T_ADD,STREET_ID,PRE_DIR,ST_NAME,ST_TYPE,SUF_DIR,ALTERNATE_NAME,CFCC,SPEEDLIMIT,ONEWAY,F_ZLEV,T_ZLEV,FT_COST,TF_COST,FT_DIR,TF_DIR,SHIELD,HWY_NUM,MUN_L,MUN_R,NBHD_L,NBHD_R,STATE00_L,STATE00_R,COUNTY00_L,COUNTY00_R,MCD00_L,MCD00_R,Shape_Length,shape_wkt,coordinates,segment_length_m,traffic_weight
26674,,,,,2657,,Massachusetts,AVE,,,A31,25,,0,0,0.03371981,0.03371981,,,,,BOSTON,BOSTON,BOSTON,BOSTON,MA,MA,25025,25025,7000,7000,0.000241798798714,"MULTILINESTRING ((-71.08503428399996 42.342834836000065, -71.084839685999953 42.342691315000025))","[(-71.08503428399996, 42.342834836000065), (-71.08483968599995, 42.342691315000025)]",26.839666657265965,0.2857142857142857
15290,,,351.0,373.0,2657,,Massachusetts,AVE,,,A35,25,FT,0,0,0.13900661,-1.0,,,,,BOSTON,BOSTON,BOSTON,BOSTON,MA,MA,25025,25025,7000,7000,0.000995978113086,"MULTILINESTRING ((-71.084070915999973 42.342187580000029, -71.083999002999974 42.342063998000071, -71.083281960999955 42.341601989000026))","[(-71.08407091599997, 42.34218758000003), (-71.08399900299997, 42.34206399800007), (-71.08328196099995, 42.341601989000026)]",110.55357055258689,0.32653061224489793
19825,,,444.0,384.0,2657,,Massachusetts,AVE,,,A35,25,FT,0,0,0.25310003,-1.0,,,,,BOSTON,BOSTON,BOSTON,BOSTON,MA,MA,25025,25025,7000,7000,0.001798663990321,"MULTILINESTRING ((-71.081734230999984 42.340644034000036, -71.082779399999936 42.341358616000036, -71.083209999999951 42.341672000000074))","[(-71.08173423099998, 42.340644034000036), (-71.08277939999994, 42.341358616000036), (-71.08320999999995, 42.341672000000074)]",199.65170292567058,0.35714285714285715
22141,,,586.0,576.0,954,,Columbus,AVE,,,A35,35,FT,0,0,0.04836371,-1.0,,,S,28,BOSTON,BOSTON,BOSTON,BOSTON,MA,MA,25025,25025,7000,7000,0.000409809727354,"MULTILINESTRING ((-71.082068559999982 42.340278540000043, -71.081859630999986 42.340444078000075, -71.081744944999969 42.340529913000069))","[(-71.08206855999998, 42.34027854000004), (-71.08185963099999, 42.340444078000075), (-71.08174494499997, 42.34052991300007)]",45.48887973630468,0.5128205128205128
27136,,,,,954,,Columbus,AVE,,,A35,35,FT,0,0,0.00976588,-1.0,,,S,28,BOSTON,BOSTON,BOSTON,BOSTON,MA,MA,25025,25025,7000,7000,9.825696959e-05,"MULTILINESTRING ((-71.081734230999984 42.340644034000036, -71.081813731999944 42.340586293000058))","[(-71.08173423099998, 42.340644034000036), (-71.08181373199994, 42.34058629300006)]",10.906523624458453,0.0
25341,,,579.0,599.0,954,,Columbus,AVE,,,A35,35,FT,0,0,0.04774208,-1.0,,,S,28,BOSTON,BOSTON,BOSTON,BOSTON,MA,MA,25025,25025,7000,7000,0.000410854589495,"MULTILINESTRING ((-71.081813731999944 42.340586293000058, -71.082137999999986 42.340334000000041))","[(-71.08181373199994, 42.34058629300006), (-71.08213799999999, 42.34033400000004)]",45.604859433946736,0.3527454242928453
17236,,,375.0,443.0,2657,,Massachusetts,AVE,,,A35,25,FT,0,0,0.25289162,-1.0,,,,,BOSTON,BOSTON,BOSTON,BOSTON,MA,MA,25025,25025,7000,7000,0.00178531083031,"MULTILINESTRING ((-71.083281960999955 42.341601989000026, -71.081813731999944 42.340586293000058))","[(-71.08328196099995, 42.341601989000026), (-71.08181373199994, 42.34058629300006)]",198.16950216445153,0.3333333333333333
27135,,,,,2657,,Massachusetts,AVE,,,A35,25,FT,0,0,0.01200452,-1.0,,,,,BOSTON,BOSTON,BOSTON,BOSTON,MA,MA,25025,25025,7000,7000,8.6158624393e-05,"MULTILINESTRING ((-71.081664738999962 42.340593101000024, -71.081734230999984 42.340644034000036))","[(-71.08166473899996, 42.340593101000024), (-71.08173423099998, 42.340644034000036)]",9.563607307645011,0.0
27137,,,,,954,,Columbus,AVE,,,A35,35,FT,0,0,0.01026956,-1.0,,,S,28,BOSTON,BOSTON,BOSTON,BOSTON,MA,MA,25025,25025,7000,7000,0.00010210644336,"MULTILINESTRING ((-71.081744944999969 42.340529913000069, -71.081664738999962 42.340593101000024))","[(-71.08174494499997, 42.34052991300007), (-71.08166473899996, 42.340593101000024)]",11.333815212914063,0.0
27134,,,,,2657,,Massachusetts,AVE,,,A35,25,FT,0,0,0.01259665,-1.0,,,,,BOSTON,BOSTON,BOSTON,BOSTON,MA,MA,25025,25025,7000,7000,8.8940180821e-05,"MULTILINESTRING ((-71.081813731999944 42.340586293000058, -71.081744944999969 42.340529913000069))","[(-71.08181373199994, 42.34058629300006), (-71.08174494499997, 42.34052991300007)]",9.872360071086076,0.0
